City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,vorgashor,67.5833,63.95,242.91,100,44,1.44,RU,1700434618
1,hadibu,12.65,54.0333,299.33,73,9,4.6,YE,1700434651
2,nuuk,64.1835,-51.7216,273.49,69,40,7.72,GL,1700434380
3,ribeira grande,38.5167,-28.7,287.47,80,96,11.62,PT,1700434611
4,nova sintra,14.8667,-24.7167,296.05,70,95,4.49,CV,1700434644
5,port saint john's,-31.6229,29.5448,294.15,88,79,4.73,ZA,1700434620
6,monduli,-3.3,36.45,290.89,83,99,1.88,TZ,1700434932
7,guneysu,40.9776,40.6136,284.89,96,100,3.65,TR,1700434933
8,bosaso,11.2842,49.1816,300.01,75,10,0.9,SO,1700434934
9,ingeniero jacobacci,-41.3427,-69.5448,286.97,54,74,10.4,AR,1700434934
10,port-aux-francais,-49.35,70.2167,279.86,94,100,19.17,TF,1700434599
11,tofol,5.3248,163.0078,303.03,74,75,4.63,FM,1700434688
12,puerto natales,-51.7236,-72.4875,286.4,35,75,6.69,CL,1700434597
13,queenstown,-31.8976,26.8753,289.93,90,60,1.8,ZA,1700434935
14,severo-yeniseyskiy,60.3725,93.0408,252.65,92,100,4.98,RU,1700434936
15,khandyga,62.6667,135.6,242.54,100,91,1.39,RU,1700434678
16,howard springs,-12.497,131.047,303.1,72,95,3.47,AU,1700434677
17,island harbour,50.724,-1.2758,285.36,82,96,2.68,GB,1700434936
18,praia da vitoria,38.7333,-27.0667,288.29,82,75,15.51,PT,1700434937
19,edinburgh of the seven seas,-37.0676,-12.3116,285.45,70,81,6.98,SH,1700434600
20,thompson,55.7435,-97.8558,268.24,93,75,3.09,CA,1700434381
21,keflavik,64.0049,-22.5624,275.39,100,100,1.54,IS,1700434655
22,saipan,15.1355,145.701,301.54,89,40,4.63,MP,1700434683
23,blackmans bay,-43.0167,147.3167,290.78,59,38,0.45,AU,1700434604
24,luderitz,-26.6481,15.1594,291.48,71,100,5.18,NA,1700434621
25,tralee,52.2704,-9.7026,284.43,92,88,8.99,IE,1700434649
26,albany,42.6001,-73.9662,278.38,72,78,0.45,US,1700434447
27,olonkinbyen,70.9221,-8.7187,274.81,83,100,7.27,SJ,1700434613
28,mount gambier,-37.8333,140.7667,288.33,72,100,3.06,AU,1700434939
29,adamstown,-25.066,-130.1015,295.92,86,100,8.08,PN,1700434603
30,achinsk,56.2694,90.4993,267.7,84,81,8.49,RU,1700434940
31,port alfred,-33.5906,26.891,292.69,95,90,2.11,ZA,1700434457
32,lokomotivnyy,53.0118,60.5684,270.04,56,33,2.68,RU,1700434940
33,callao,-12.0667,-77.15,296.33,77,100,3.09,PE,1700434676
34,mitchell,43.7094,-98.0298,283.56,79,100,4.02,US,1700434855
35,hithadhoo,-0.6,73.0833,300.97,78,30,4.86,MV,1700434598
36,inverurie,57.2845,-2.3774,283.51,97,75,0.45,GB,1700434942
37,mejit,10.2753,170.8646,301.16,76,2,8.77,MH,1700434655
38,petropavlovsk-kamchatsky,53.0452,158.6483,277.48,98,75,10.0,RU,1700434611
39,penafiel,41.2084,-8.2829,287.64,98,31,1.19,PT,1700434944
40,grytviken,-54.2811,-36.5092,274.48,99,100,3.17,GS,1700434595
41,sarmiento,-45.5882,-69.07,289.72,41,100,9.41,AR,1700434946
42,arraial do cabo,-22.9661,-42.0278,297.07,88,75,1.54,BR,1700434610
